Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,910.0,35.0,0.67,164.0,0.0,0.0,228.0,4.38,0
2011,1965.0,73.0,1.43,340.0,207.0,0.61,772.0,15.14,108
2012,2066.0,204.0,1.47,362.0,319.0,0.88,1010.0,7.37,179
2013,2104.0,220.0,1.72,375.0,373.0,0.99,1018.0,8.08,7
2014,2142.0,253.0,2.17,407.0,539.0,1.32,976.0,8.41,14
2015,1603.0,83.0,1.35,180.0,-55.0,-0.0,757.0,12.41,-67
2016,105.0,-218.0,-218.0,-171.0,57.0,0.0,-589.0,-589.0,-362
2017,361.0,139.0,0.67,265.0,490.0,1.85,-837.0,-4.16,163
2018,644.0,257.0,1.05,475.0,685.0,1.44,-193.0,-0.8,84
2019,675.0,213.0,0.86,515.0,636.0,1.23,-11.0,-0.05,-17
