Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,3365.0,578.0,1.38,903.0,0.0,0.0,720.0,1.73,0
2009,6722.0,1107.0,2.77,2008.0,-2936.0,-0.0,1331.0,3.35,91
2010,7319.0,1271.0,3.16,2138.0,-3359.0,-0.0,1425.0,3.57,14
2011,8306.0,1344.0,3.44,1967.0,-1650.0,-0.0,1275.0,3.28,5
2012,8657.0,1298.0,3.37,1982.0,-2523.0,-0.0,1447.0,3.78,-3
2013,9021.0,1006.0,2.61,1519.0,-1216.0,-0.0,1691.0,4.43,-22
2014,9675.0,515.0,1.33,1538.0,-1027.0,-0.0,1549.0,4.05,-48
2015,9946.0,1439.0,3.77,2132.0,-81.0,-0.0,711.0,1.87,179
2016,11325.0,1647.0,4.33,2467.0,3530.0,1.43,1425.0,3.77,14
2017,12444.0,1020.0,2.67,2705.0,4429.0,1.64,961.0,2.53,-38
2018,13601.0,3553.0,9.33,3079.0,6160.0,2.0,2038.0,5.36,248
2019,14884.0,2083.0,5.47,3340.0,6665.0,2.0,1542.0,4.07,-41
2020,14956.0,2164.0,5.69,3458.0,6459.0,1.87,1798.0,4.74,3
