Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,77.0,2.0,0.34,2.0,0.0,0.0,1.0,0.17,0
2011,169.0,5.0,0.84,9.0,7.0,0.78,-7.0,-1.17,148
2012,164.0,4.0,0.68,8.0,38.0,4.75,-3.0,-0.5,-20
2013,195.0,0.0,0.01,9.0,21.0,2.33,-10.0,-1.67,-100
2014,197.0,5.0,0.64,22.0,30.0,1.36,22.0,2.75,49900
2015,174.0,-12.0,-1.49,-1.0,26.0,0.0,6.0,0.75,-339
2016,137.0,-5.0,-0.64,-2.0,7.0,0.0,19.0,2.38,58
2017,199.0,2.0,0.26,9.0,26.0,2.89,-2.0,-0.25,140
2018,278.0,12.0,1.48,26.0,74.0,2.85,-24.0,-3.0,497
2019,302.0,-4.0,-0.48,9.0,74.0,8.22,23.0,2.88,-133
