Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3017.0,5.0,0.3,21.0,0.0,0.0,1.0,0.06,0
2011,7887.0,23.0,0.96,79.0,-118.0,-0.0,-95.0,-3.96,359
2012,7994.0,31.0,1.11,91.0,-35.0,-0.0,98.0,3.5,34
2013,7943.0,29.0,1.01,78.0,25.0,0.32,-14.0,-0.48,-6
2014,7777.0,60.0,1.62,179.0,6.0,0.03,57.0,1.54,106
2015,5805.0,26.0,0.68,148.0,144.0,0.97,218.0,5.74,-56
2016,5449.0,-2.0,-0.05,114.0,257.0,2.25,-27.0,-0.68,-107
2017,6049.0,11.0,0.27,83.0,283.0,3.41,1.0,0.03,652
2018,4570.0,-118.0,-3.0,106.0,6.0,0.06,-7.0,-0.18,-1171
2019,6116.0,33.0,4.11,164.0,312.0,1.9,-306.0,-38.25,127
