Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3.0,-2.0,-0.4,1.0,0.0,0.0,-2.0,-0.4,0
2011,4.0,-4.0,-0.8,-2.0,0.0,0.0,-6.0,-1.2,-101
2012,5.0,-4.0,-0.8,-2.0,-1.0,-0.0,-1.0,-0.2,0
2013,4.0,-4.0,-0.8,-4.0,-2.0,-0.0,-3.0,-0.6,0
2014,4.0,-4.0,-0.8,-2.0,-3.0,-0.0,1.0,0.2,0
2015,4.0,-4.0,-0.8,0.0,-3.0,0.0,-2.0,-0.4,0
2016,4.0,-2.0,-0.4,0.0,-4.0,0.0,3.0,0.6,49
2017,6.0,2.0,0.4,4.0,-3.0,-0.0,-2.0,-0.4,200
2018,6.0,4.0,0.8,4.0,-4.0,-0.0,3.0,0.6,99
2019,4.0,2.0,0.18,4.0,-5.0,-0.0,1.0,0.09,-50
