Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,1373.0,172.0,0.92,249.0,0.0,0.0,0.0,0.0,0
2009,4425.0,721.0,3.89,1029.0,978.0,0.95,698.0,3.77,319
2010,4702.0,709.0,3.78,1130.0,743.0,0.66,573.0,3.06,-1
2011,5168.0,675.0,3.63,1120.0,882.0,0.79,632.0,3.42,-4
2012,5613.0,437.0,2.42,1090.0,4043.0,3.71,761.0,4.25,-35
2013,5997.0,570.0,3.06,1164.0,3357.0,2.88,929.0,5.02,30
2014,5927.0,517.0,3.69,1038.0,2546.0,2.45,1038.0,7.41,-9
2015,8693.0,397.0,2.1,892.0,2506.0,2.81,453.0,2.42,-23
2016,6596.0,1600.0,2.89,3752.0,11511.0,3.07,959.0,1.75,303
2017,13470.0,1589.0,4.07,2561.0,10894.0,4.25,1326.0,3.41,0
2018,13337.0,1132.0,4.07,2526.0,9430.0,3.73,1711.0,6.18,-28
2019,11183.0,246.0,1.12,1624.0,8514.0,5.24,2352.0,10.89,-78
2020,11417.0,-20.0,-0.1,1321.0,8811.0,6.67,2699.0,12.5,-108
