Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,60.0,2.0,0.07,2.0,0.0,0.0,33.0,1.32,0
2011,134.0,16.0,1.12,32.0,-524.0,-0.0,25.0,1.79,696
2012,137.0,17.0,1.19,36.0,-698.0,-0.0,40.0,2.86,6
2013,136.0,26.0,1.72,49.0,-551.0,-0.0,31.0,2.07,52
2014,149.0,24.0,1.49,49.0,-545.0,-0.0,21.0,1.31,-7
2015,199.0,42.0,1.9,81.0,-235.0,-0.0,47.0,2.14,74
2016,211.0,43.0,1.93,84.0,-231.0,-0.0,39.0,1.77,2
2017,223.0,38.0,1.72,87.0,-26.0,-0.0,44.0,2.0,-11
2018,263.0,67.0,2.56,105.0,-155.0,-0.0,84.0,3.23,76
2019,308.0,90.0,2.98,136.0,-201.0,-0.0,97.0,3.23,34
