Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1936.0,301.0,1.8,474.0,-883.0,-0.0,330.0,1.98,0
2011,2362.0,353.0,2.1,583.0,-482.0,-0.0,403.0,2.4,17
2012,2665.0,419.0,2.5,704.0,-455.0,-0.0,427.0,2.54,18
2013,2692.0,377.0,2.31,659.0,-421.0,-0.0,372.0,2.28,-10
2014,2732.0,367.0,2.37,666.0,-366.0,-0.0,551.0,3.55,-2
2015,2530.0,-214.0,-1.54,35.0,-62.0,-0.0,281.0,2.02,-158
2016,2322.0,125.0,0.97,361.0,-406.0,-0.0,333.0,2.58,158
2017,2156.0,-67.0,-0.54,211.0,-311.0,-0.0,237.0,1.9,-153
2018,4360.0,30.0,0.24,157.0,-218.0,-0.0,204.0,1.69,144
2019,1899.0,-20.0,-0.16,137.0,-15.0,-0.0,89.0,0.78,-166
