Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,827.0,162.0,3.12,398.0,1537.0,3.86,187.0,3.6,0
2011,1204.0,171.0,3.23,556.0,2761.0,4.97,244.0,4.6,5
2012,1698.0,323.0,6.1,778.0,3178.0,4.08,388.0,7.32,88
2013,1922.0,301.0,5.48,833.0,5167.0,6.2,436.0,7.93,-6
2014,2371.0,306.0,5.48,1036.0,6653.0,6.42,522.0,9.32,1
2015,2705.0,445.0,7.95,1181.0,7635.0,6.46,466.0,8.32,45
2016,3169.0,584.0,10.43,1405.0,8609.0,6.13,640.0,11.43,31
2017,3503.0,595.0,10.82,1639.0,11112.0,6.78,717.0,13.04,1
2018,3609.0,839.0,15.26,1695.0,11038.0,6.51,643.0,11.69,41
2019,5221.0,890.0,15.88,2255.0,15431.0,6.84,914.0,16.32,6
2020,5693.0,1303.0,14.45,2432.0,14188.0,5.83,1014.0,3.45,46
