Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1166.0,257.0,128.5,373.0,77.0,0.21,28.0,14.0,0
2010,1053.0,104.0,104.0,280.0,455.0,1.63,-314.0,-314.0,-59
2011,1065.0,87.0,87.0,253.0,630.0,2.49,-93.0,-93.0,-16
2012,1242.0,148.0,148.0,355.0,960.0,2.7,-199.0,-199.0,70
2013,1433.0,139.0,139.0,369.0,1454.0,3.94,-440.0,-440.0,-6
2014,1493.0,-65.0,-65.0,145.0,1456.0,10.04,2.0,2.0,-146
2015,977.0,-158.0,-158.0,107.0,1367.0,12.78,69.0,69.0,-143
2016,-1.0,2.0,2.0,168.0,1328.0,7.9,21.0,21.0,101
2017,-53.0,-434.0,-434.0,-291.0,-593.0,-0.0,13.0,13.0,-21692
2018,405.0,-171.0,-171.0,-51.0,67.0,0.0,28.0,28.0,60
2019,484.0,-139.0,-3.64,8.0,70.0,8.75,-21.0,-0.55,18
