Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,5937.0,63.0,1.06,497.0,990.0,1.99,84.0,1.42,0
2011,7205.0,183.0,3.1,586.0,1010.0,1.72,21.0,0.36,190
2012,7363.0,304.0,5.15,633.0,957.0,1.51,92.0,1.56,66
2013,7964.0,222.0,3.7,629.0,827.0,1.31,242.0,4.03,-26
2014,8420.0,270.0,4.5,700.0,833.0,1.19,0.0,0.0,21
2015,8181.0,295.0,5.0,711.0,923.0,1.3,223.0,3.78,9
2016,8599.0,424.0,7.7,728.0,1037.0,1.42,145.0,2.64,43
2017,9274.0,274.0,5.26,641.0,1126.0,1.76,218.0,4.19,-35
2018,11763.0,111.0,1.9,643.0,4796.0,7.46,-59.0,-1.02,-59
2019,17450.0,-220.0,-2.75,751.0,4992.0,6.65,-280.0,-3.5,-298
