Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,4.0,-9.0,-0.37,-8.0,4.0,0.0,-10.0,-0.43,0
2010,4.0,-13.0,-13.0,-6.0,1.0,0.0,-10.0,-10.0,-44
2011,4.0,-8.0,-8.0,-4.0,0.0,0.0,-7.0,-7.0,38
2012,2.0,-7.0,-7.0,-4.0,2.0,0.0,-5.0,-5.0,12
2013,2.0,-18.0,-1.99,-15.0,-57.0,-0.0,-8.0,-0.89,-157
2014,1.0,-13.0,-0.45,-11.0,-15.0,-0.0,-7.0,-0.25,27
2015,1.0,-12.0,-0.42,-11.0,-21.0,-0.0,-10.0,-0.37,7
2016,0.0,-44.0,-44.0,-52.0,-12.0,-0.0,-15.0,-15.0,-266
2017,0.0,-10.0,-10.0,-9.0,-7.0,-0.0,-14.0,-14.0,77
2018,0.0,-15.0,-7.5,-8.0,-13.0,-0.0,-7.0,-3.5,-50
2019,0.0,-9.0,-1.51,-10.0,-5.0,-0.0,-6.0,-1.0,39
