Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1565.0,384.0,2.14,507.0,-654.0,-0.0,489.0,2.73,0
2011,1427.0,368.0,1.99,336.0,-508.0,-0.0,187.0,1.02,-4
2012,1655.0,216.0,1.16,429.0,-596.0,-0.0,284.0,1.53,-41
2013,1426.0,163.0,0.86,373.0,-741.0,-0.0,163.0,0.86,-24
2014,1647.0,81.0,0.4,294.0,-826.0,-0.0,324.0,1.6,-50
2015,1637.0,204.0,0.97,405.0,-726.0,-0.0,333.0,1.58,151
2016,1750.0,-45.0,-0.22,55.0,-825.0,-0.0,369.0,1.83,-122
2017,2134.0,257.0,1.3,628.0,-1387.0,-0.0,521.0,2.63,671
2018,2098.0,449.0,2.31,580.0,-703.0,-0.0,364.0,1.9,74
2019,2294.0,466.0,2.58,651.0,-507.0,-0.0,445.0,2.49,3
2020,2504.0,533.0,2.95,761.0,-405.0,-0.0,459.0,2.55,14
