Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,79.0,10.0,0.03,0.0,0.0,0.0,0.0,0.0,0
2010,283.0,10.0,0.04,36.0,-428.0,-0.0,113.0,0.38,0
2011,277.0,8.0,0.04,31.0,-39.0,-0.0,131.0,0.44,-20
2012,285.0,11.0,0.03,35.0,577.0,16.49,148.0,0.49,37
2013,295.0,54.0,0.18,101.0,786.0,7.78,138.0,0.46,390
2014,291.0,64.0,0.21,110.0,1167.0,10.61,99.0,0.33,18
2015,293.0,71.0,0.24,124.0,2196.0,17.71,95.0,0.33,10
2016,293.0,78.0,0.28,139.0,2741.0,19.72,77.0,0.27,9
2017,297.0,87.0,0.31,152.0,3672.0,24.16,104.0,0.37,11
2018,300.0,83.0,0.3,144.0,3724.0,25.86,141.0,0.51,-4
2019,284.0,79.0,0.27,123.0,3904.0,31.74,98.0,0.35,-4
2020,288.0,84.0,0.29,131.0,3896.0,29.74,151.0,0.55,6
