Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,383.0,12.0,0.43,30.0,0.0,0.0,7.0,0.26,0
2011,795.0,22.0,0.81,82.0,57.0,0.7,57.0,2.11,83
2012,899.0,26.0,0.88,109.0,80.0,0.73,51.0,1.76,18
2013,959.0,20.0,0.67,96.0,87.0,0.91,-4.0,-0.14,-23
2014,943.0,35.0,1.15,84.0,87.0,1.04,7.0,0.23,74
2015,894.0,-31.0,1.1,10.0,60.0,6.0,41.0,-1.46,-188
2016,-829.0,23.0,0.76,58.0,66.0,1.14,4.0,0.13,174
2017,-961.0,38.0,1.81,24.0,116.0,4.83,44.0,2.1,65
2018,-1064.0,24.0,2.17,69.0,67.0,0.97,57.0,5.18,-36
2019,-971.0,98.0,2.95,103.0,11.0,0.11,152.0,4.61,308
