Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2275.0,108.0,2.02,177.0,-247.0,-0.0,91.0,1.72,0
2011,7449.0,104.0,1.87,155.0,-215.0,-0.0,85.0,1.55,-3
2012,2638.0,120.0,2.25,185.0,-218.0,-0.0,109.0,2.06,15
2013,3240.0,150.0,2.81,242.0,-236.0,-0.0,140.0,2.64,24
2014,3523.0,178.0,3.34,275.0,-289.0,-0.0,135.0,2.55,18
2015,4005.0,196.0,3.67,321.0,-183.0,-0.0,209.0,3.94,10
2016,4581.0,254.0,4.87,435.0,151.0,0.35,298.0,5.73,29
2017,7245.0,372.0,7.14,663.0,-78.0,-0.0,310.0,5.96,46
2018,8327.0,428.0,8.21,729.0,-275.0,-0.0,334.0,6.42,15
2019,7862.0,131.0,2.42,398.0,1521.0,3.82,382.0,7.07,-69
2020,8978.0,201.0,3.68,580.0,1575.0,2.72,275.0,5.0,53
