Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,58.0,4.0,0.22,7.0,0.0,0.0,4.0,0.22,0
2011,368.0,10.0,0.44,42.0,52.0,1.24,24.0,1.09,149
2012,554.0,22.0,0.36,66.0,-2.0,-0.0,9.0,0.16,119
2013,661.0,32.0,0.92,79.0,27.0,0.34,26.0,0.76,45
2014,810.0,68.0,1.99,130.0,5.0,0.04,43.0,1.26,112
2015,854.0,93.0,2.65,161.0,-48.0,-0.0,49.0,1.4,36
2016,915.0,75.0,2.13,150.0,-6.0,-0.0,43.0,1.23,-19
2017,984.0,34.0,1.88,117.0,41.0,0.35,0.0,0.0,-54
2018,1035.0,39.0,1.38,112.0,100.0,0.89,76.0,2.71,14
2019,970.0,35.0,1.05,105.0,30.0,0.29,94.0,2.85,-10
