Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,20286.0,1211.0,1.45,2424.0,-968.0,-0.0,1842.0,2.21,0
2011,21940.0,1341.0,1.68,2660.0,-1041.0,-0.0,1270.0,1.59,10
2012,23190.0,1494.0,1.96,2930.0,-825.0,-0.0,1114.0,1.46,11
2013,25876.0,1905.0,2.59,3613.0,-1272.0,-0.0,2078.0,2.83,27
2014,27420.0,2135.0,2.99,3897.0,-1169.0,-0.0,1654.0,2.32,12
2015,29077.0,2213.0,3.21,4194.0,-1152.0,-0.0,2097.0,3.03,3
2016,30943.0,2276.0,3.38,4319.0,-832.0,-0.0,2068.0,3.07,2
2017,33182.0,2296.0,3.51,4309.0,-1245.0,-0.0,2602.0,3.97,0
2018,35863.0,2606.0,4.1,4613.0,-1034.0,-0.0,1968.0,3.09,13
2019,38971.0,3058.0,2.4,5000.0,-797.0,-0.0,2963.0,2.35,17
2020,41715.0,3270.0,2.65,5281.0,-980.0,-0.0,2845.0,2.32,6
