Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,27.0,2.0,0.2,1.0,0.0,0.0,-2.0,-0.2,0
2011,63.0,4.0,0.4,7.0,-7.0,-0.0,1.0,0.1,99
2012,71.0,5.0,0.5,8.0,-4.0,-0.0,-2.0,-0.2,24
2013,76.0,5.0,0.5,10.0,-8.0,-0.0,3.0,0.3,0
2014,81.0,5.0,0.5,12.0,-6.0,-0.0,-2.0,-0.2,0
2015,82.0,5.0,0.5,10.0,-6.0,-0.0,3.0,0.3,0
2016,81.0,5.0,0.55,10.0,-9.0,-0.0,3.0,0.33,0
2017,81.0,4.0,0.44,8.0,-11.0,-0.0,0.0,0.0,-20
2018,81.0,0.0,0.0,6.0,-15.0,-0.0,3.0,0.33,-100
2019,81.0,0.0,0.0,5.0,-16.0,-0.0,5.0,0.56,-100
