Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-2.0,-0.08,-1.0,0.0,0.0,-2.0,-0.08,0
2011,7.0,-4.0,-0.12,-4.0,0.0,0.0,-6.0,-0.15,-101
2012,6.0,-4.0,-0.12,-4.0,0.0,0.0,-6.0,-0.15,0
2013,15.0,-2.0,-0.04,0.0,-1.0,0.0,-4.0,-0.09,49
2014,31.0,4.0,0.06,7.0,-57.0,-0.0,-7.0,-0.11,301
2015,42.0,7.0,0.1,28.0,16.0,0.57,-21.0,-0.31,74
2016,65.0,-10.0,-0.19,12.0,45.0,3.75,-14.0,-0.26,-242
2017,65.0,-14.0,-0.26,9.0,94.0,10.44,-38.0,-0.72,-40
2018,64.0,-41.0,-0.75,-11.0,144.0,0.0,-36.0,-0.68,-193
2019,64.0,-23.0,-0.42,6.0,171.0,28.5,-25.0,-0.47,43
