Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,73.0,20.0,1.42,17.0,0.0,0.0,10.0,0.71,0
2011,151.0,45.0,3.21,76.0,113.0,1.49,35.0,2.5,124
2012,154.0,36.0,36.0,68.0,178.0,2.62,57.0,57.0,-20
2013,157.0,33.0,1.82,66.0,209.0,3.17,53.0,2.94,-8
2014,148.0,30.0,1.5,66.0,249.0,3.77,52.0,2.6,-9
2015,151.0,40.0,2.11,78.0,247.0,3.17,59.0,3.11,33
2016,163.0,42.0,2.1,82.0,290.0,3.54,24.0,1.2,4
2017,181.0,46.0,2.09,95.0,592.0,6.23,46.0,2.09,9
2018,115.0,37.0,1.36,11.0,597.0,54.27,62.0,2.3,-19
2019,260.0,43.0,1.38,135.0,643.0,4.76,8.0,0.0,16
