Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,13.0,2.0,0.28,1.0,0.0,0.0,1.0,0.14,0
2011,26.0,4.0,0.56,6.0,22.0,3.67,1.0,0.14,99
2012,28.0,4.0,0.52,7.0,14.0,2.0,2.0,0.25,0
2013,28.0,4.0,0.52,8.0,19.0,2.38,4.0,0.5,0
2014,28.0,4.0,0.52,8.0,21.0,2.63,7.0,0.88,0
2015,30.0,4.0,0.52,10.0,34.0,3.4,3.0,0.38,0
2016,34.0,6.0,0.76,13.0,35.0,2.69,4.0,0.5,49
2017,35.0,6.0,0.76,12.0,33.0,2.75,8.0,1.0,0
2018,40.0,9.0,1.12,15.0,27.0,1.8,8.0,1.0,49
2019,40.0,10.0,1.24,15.0,16.0,1.07,8.0,1.0,10
