Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2460.0,3.0,0.6,187.0,0.0,0.0,-60.0,-12.0,0
2011,6993.0,213.0,0.71,537.0,1422.0,2.65,48.0,0.17,6976
2012,5677.0,158.0,0.88,542.0,2399.0,4.43,-154.0,-0.89,-25
2013,6313.0,199.0,1.54,669.0,2923.0,4.37,-630.0,-4.92,25
2014,-1.0,-1.0,-1.0,362.0,2804.0,7.75,-1.0,-1.0,-100
2015,6657.0,-153.0,-153.0,782.0,5578.0,7.13,218.0,218.0,-15354
2016,6689.0,-158.0,-158.0,779.0,4808.0,6.17,280.0,280.0,-3
2017,8812.0,104.0,1.67,777.0,4916.0,6.33,-357.0,-5.76,165
2018,10482.0,60.0,1.87,1070.0,6427.0,6.01,-1714.0,-53.56,-42
2019,8669.0,41.0,0.17,1163.0,7491.0,6.44,-1473.0,-6.35,-31
