Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,559.0,36.0,0.29,40.0,0.0,0.0,28.0,0.23,0
2010,1293.0,101.0,0.82,205.0,-68.0,-0.0,101.0,0.82,180
2011,1643.0,147.0,0.58,263.0,409.0,1.56,217.0,0.86,45
2012,2038.0,188.0,0.75,368.0,754.0,2.05,287.0,1.12,27
2013,2287.0,215.0,0.83,437.0,611.0,1.4,344.0,1.32,14
2014,2393.0,212.0,0.81,462.0,587.0,1.27,360.0,1.36,-1
2015,2288.0,119.0,0.46,357.0,613.0,1.72,313.0,1.21,-43
2016,2361.0,130.0,0.52,371.0,292.0,0.79,388.0,1.53,9
2017,2652.0,119.0,0.46,436.0,377.0,0.86,369.0,1.44,-8
2018,3107.0,281.0,1.08,536.0,1796.0,3.35,418.0,1.65,136
2019,3262.0,513.0,2.01,597.0,1654.0,2.77,515.0,2.04,82
