Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,489.0,33.0,0.99,77.0,0.0,0.0,25.0,0.76,0
2011,1082.0,59.0,1.72,169.0,381.0,2.25,64.0,1.88,78
2012,1265.0,35.0,1.66,170.0,402.0,2.36,27.0,1.29,-40
2013,798.0,78.0,1.85,127.0,278.0,2.19,64.0,1.52,122
2014,885.0,68.0,1.49,120.0,606.0,5.05,101.0,2.24,-12
2015,862.0,-35.0,0.66,38.0,399.0,10.5,34.0,-0.63,-151
2016,792.0,-41.0,0.64,0.0,353.0,0.0,52.0,-0.8,-17
2017,816.0,29.0,0.79,134.0,276.0,2.06,83.0,2.31,170
2018,875.0,81.0,1.78,163.0,185.0,1.13,104.0,2.31,179
2019,722.0,98.0,2.16,135.0,122.0,0.9,46.0,1.02,20
2020,683.0,92.0,2.03,130.0,238.0,1.83,44.0,1.0,-6
