Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3636.0,166.0,2.3,334.0,-271.0,-0.0,128.0,1.78,0
2011,4231.0,221.0,1.55,432.0,-175.0,-0.0,91.0,0.64,33
2012,4662.0,275.0,1.94,524.0,-137.0,-0.0,227.0,1.6,24
2013,5163.0,326.0,2.34,613.0,-141.0,-0.0,116.0,0.83,18
2014,5709.0,369.0,2.69,701.0,-50.0,-0.0,249.0,1.82,13
2015,6224.0,409.0,3.02,773.0,88.0,0.11,221.0,1.64,10
2016,6777.0,435.0,3.29,835.0,221.0,0.26,426.0,3.23,6
2017,7254.0,420.0,3.31,850.0,320.0,0.38,394.0,3.1,-3
2018,7909.0,530.0,4.29,878.0,324.0,0.37,418.0,3.4,26
2019,8350.0,561.0,4.66,937.0,312.0,0.33,597.0,4.98,5
