Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,8451.0,-29.0,-0.2,662.0,0.0,0.0,849.0,5.82,0
2010,23325.0,253.0,1.08,2128.0,8415.0,3.95,1539.0,6.58,972
2011,65292.0,1165.0,3.15,3407.0,7159.0,2.1,1691.0,4.56,360
2012,37152.0,-723.0,-2.19,1724.0,9191.0,5.33,-898.0,-2.71,-162
2013,38279.0,571.0,1.52,2941.0,9940.0,3.38,-568.0,-1.52,178
2014,38901.0,1132.0,3.04,3468.0,10693.0,3.08,723.0,1.95,98
2015,37864.0,7340.0,19.5,6633.0,9589.0,1.45,3331.0,8.86,548
2016,72182.0,2234.0,6.79,6310.0,10185.0,1.61,3223.0,9.8,-69
2017,74454.0,2144.0,7.07,5719.0,11973.0,2.09,-585.0,-1.94,-4
2018,165212.0,4260.0,7.68,10914.0,10337.0,0.95,2004.0,3.62,98
2019,43259.0,3009.0,11.64,6715.0,15159.0,2.26,2381.0,9.23,-29
2020,41649.0,1013.0,3.64,4289.0,18029.0,4.2,4097.0,16.52,-66
