Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,4.0,2.0,0.04,1.0,0.0,0.0,0.0,0.0,0
2011,11.0,2.0,0.04,2.0,1.0,0.5,-2.0,-0.03,0
2012,10.0,-2.0,-0.04,0.0,0.0,0.0,-4.0,-0.07,-199
2013,8.0,-4.0,-0.08,-4.0,0.0,0.0,-2.0,-0.03,-101
2014,8.0,-4.0,-0.08,-4.0,0.0,0.0,-2.0,-0.03,0
2015,11.0,-2.0,-0.04,0.0,0.0,0.0,-2.0,-0.03,49
2016,10.0,-4.0,-0.04,2.0,0.0,0.0,0.0,0.0,-101
2017,8.0,-4.0,-0.08,-2.0,0.0,0.0,0.0,0.0,0
2018,8.0,0.0,0.0,0.0,0.0,0.0,-4.0,-0.06,100
2019,6.0,-4.0,-0.04,-4.0,0.0,0.0,-4.0,-0.06,-40099
