Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,147.0,20.0,0.45,27.0,0.0,0.0,48.0,1.12,0
2010,298.0,70.0,1.65,103.0,-6.0,-0.0,96.0,2.29,249
2011,309.0,74.0,1.58,109.0,-172.0,-0.0,111.0,2.41,5
2012,340.0,82.0,1.64,119.0,4.0,0.03,126.0,2.52,10
2013,334.0,84.0,1.68,122.0,427.0,3.5,136.0,2.78,2
2014,454.0,129.0,1.91,192.0,1311.0,6.83,154.0,2.3,53
2015,456.0,136.0,1.95,201.0,1279.0,6.36,171.0,2.48,5
2016,493.0,145.0,1.97,221.0,1184.0,5.36,163.0,2.23,6
2017,678.0,148.0,1.52,283.0,1628.0,5.75,239.0,2.49,2
2018,716.0,254.0,2.42,325.0,1639.0,5.04,294.0,2.83,71
2019,727.0,258.0,2.54,321.0,2027.0,6.31,138.0,1.37,1
