Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,223.0,11.0,0.48,9.0,0.0,0.0,3.0,0.13,0
2011,450.0,21.0,0.91,25.0,-31.0,-0.0,17.0,0.74,90
2012,401.0,4.0,0.15,14.0,-28.0,-0.0,22.0,0.85,-80
2013,443.0,9.0,0.32,23.0,-43.0,-0.0,26.0,0.9,124
2014,513.0,11.0,0.38,27.0,-31.0,-0.0,23.0,0.79,22
2015,467.0,-11.0,-0.36,17.0,24.0,1.41,-6.0,-0.19,-199
2016,561.0,9.0,0.27,32.0,14.0,0.44,10.0,0.3,181
2017,922.0,73.0,2.15,99.0,-17.0,-0.0,35.0,1.03,710
2018,1095.0,35.0,0.93,81.0,196.0,2.42,18.0,0.47,-52
2019,196.0,-8.0,-0.21,72.0,129.0,1.79,94.0,2.41,-122
