Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,157.0,8.0,0.62,8.0,0.0,0.0,-4.0,-0.31,0
2011,466.0,18.0,1.21,41.0,-13.0,-0.0,-1.0,-0.07,124
2012,460.0,14.0,0.93,40.0,-44.0,-0.0,34.0,2.27,-22
2013,528.0,20.0,1.32,45.0,-76.0,-0.0,21.0,1.4,42
2014,560.0,30.0,1.88,56.0,-112.0,-0.0,46.0,2.88,49
2015,601.0,28.0,1.86,55.0,-2.0,-0.0,-6.0,-0.4,-6
2016,649.0,18.0,1.28,51.0,-1.0,-0.0,10.0,0.71,-35
2017,694.0,-10.0,-0.71,38.0,76.0,2.0,-26.0,-1.86,-155
2018,678.0,11.0,0.79,54.0,48.0,0.89,-2.0,-0.14,210
2019,751.0,3.0,0.22,45.0,-6.0,-0.0,65.0,4.64,-72
