Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,278.0,37.0,0.8,89.0,-153.0,-0.0,63.0,1.37,0
2011,342.0,1.0,0.02,73.0,30.0,0.41,52.0,1.16,-97
2012,388.0,44.0,1.0,97.0,54.0,0.56,-16.0,-0.36,4256
2013,450.0,12.0,0.26,62.0,27.0,0.44,34.0,0.76,-72
2014,580.0,68.0,1.51,141.0,18.0,0.13,19.0,0.42,466
2015,625.0,95.0,2.06,168.0,-59.0,-0.0,99.0,2.15,39
2016,589.0,82.0,1.74,153.0,-172.0,-0.0,84.0,1.79,-13
2017,608.0,74.0,1.4,138.0,-226.0,-0.0,86.0,1.62,-9
2018,611.0,36.0,0.65,94.0,-41.0,-0.0,123.0,2.24,-51
2019,457.0,-115.0,-2.09,-21.0,-24.0,-0.0,25.0,0.45,-419
