Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,295.0,15.0,0.58,3.0,0.0,0.0,12.0,0.46,0
2011,703.0,0.0,0.0,5.0,-84.0,-0.0,72.0,0.0,-100
2012,811.0,39.0,1.56,69.0,-107.0,-0.0,170.0,6.8,389900
2013,875.0,74.0,2.96,121.0,-92.0,-0.0,159.0,6.36,89
2014,939.0,58.0,2.32,96.0,-90.0,-0.0,149.0,5.96,-21
2015,897.0,87.0,3.48,132.0,-106.0,-0.0,188.0,7.52,49
2016,994.0,48.0,1.92,66.0,-89.0,-0.0,212.0,8.48,-44
2017,1050.0,49.0,1.96,19.0,-95.0,-0.0,168.0,6.72,2
2018,1068.0,28.0,1.12,-4.0,-64.0,-0.0,108.0,4.32,-42
2019,1200.0,15.0,0.6,22.0,-120.0,-0.0,91.0,3.64,-46
