Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1118.0,17.0,0.9,14.0,12.0,0.86,59.0,3.11,0
2011,1821.0,6.0,0.32,46.0,42.0,0.91,-18.0,-0.95,-64
2012,2053.0,25.0,1.32,75.0,88.0,1.17,-17.0,-0.89,315
2013,2468.0,44.0,2.31,105.0,84.0,0.8,18.0,0.95,75
2014,2658.0,59.0,3.11,121.0,98.0,0.81,37.0,1.95,34
2015,2886.0,82.0,1.39,174.0,-8.0,-0.0,129.0,2.19,38
2016,3239.0,104.0,1.74,206.0,67.0,0.33,123.0,2.05,26
2017,3940.0,122.0,2.04,234.0,106.0,0.45,69.0,1.15,17
2018,4487.0,151.0,2.51,265.0,162.0,0.61,59.0,0.98,23
2019,4415.0,181.0,3.0,310.0,-24.0,-0.0,269.0,4.48,19
