Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,237.0,0.0,0.0,200.0,0.0,0.0,-16.0,-1.6,0
2011,94.0,8.0,0.8,14.0,-24.0,-0.0,36.0,3.6,791
2012,129.0,8.0,0.8,14.0,-56.0,-0.0,35.0,3.5,0
2013,206.0,19.0,1.19,34.0,-20.0,-0.0,105.0,6.56,121
2014,278.0,39.0,1.95,65.0,-48.0,-0.0,60.0,3.0,99
2015,356.0,27.0,1.29,45.0,-72.0,-0.0,87.0,4.14,-30
2016,485.0,4.0,0.19,21.0,-96.0,-0.0,60.0,2.86,-82
2017,653.0,9.0,0.24,42.0,-115.0,-0.0,8.0,0.22,99
2018,669.0,26.0,0.62,60.0,-80.0,-0.0,-16.0,-0.38,169
2019,795.0,6.0,-1.1,26.0,-111.0,-0.0,141.0,11.75,-74
