Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,310.0,6.0,0.4,7.0,0.0,0.0,2.0,0.13,0
2011,988.0,49.0,1.64,84.0,61.0,0.73,50.0,1.67,715
2012,1034.0,46.0,1.54,88.0,135.0,1.53,41.0,1.37,-6
2013,1032.0,49.0,1.64,103.0,218.0,2.12,44.0,1.47,6
2014,1190.0,44.0,1.46,113.0,213.0,1.88,21.0,0.7,-10
2015,1127.0,39.0,1.35,107.0,209.0,1.95,53.0,1.83,-11
2016,1071.0,22.0,0.78,83.0,245.0,2.95,-27.0,-0.96,-43
2017,1216.0,27.0,0.96,72.0,231.0,3.21,21.0,0.75,22
2018,1460.0,51.0,1.8,138.0,385.0,2.79,33.0,1.18,88
2019,757.0,36.0,1.27,140.0,441.0,3.15,62.0,2.21,-29
