Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,12.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0
2011,25.0,4.0,1.0,6.0,24.0,4.0,2.0,0.5,99
2012,31.0,5.0,1.25,8.0,10.0,1.25,-1.0,-0.25,24
2013,28.0,5.0,1.25,8.0,8.0,1.0,11.0,2.75,0
2014,29.0,5.0,1.25,8.0,11.0,1.38,-3.0,-0.75,0
2015,31.0,6.0,1.5,9.0,5.0,0.56,7.0,1.75,19
2016,33.0,7.0,1.75,11.0,27.0,2.45,2.0,0.5,16
2017,34.0,6.0,1.5,12.0,28.0,2.33,5.0,1.25,-14
2018,36.0,5.0,1.25,8.0,23.0,2.88,11.0,2.75,-16
2019,38.0,8.0,2.0,12.0,42.0,3.5,6.0,1.5,59
