Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,9414.0,1234.0,1.19,2882.0,0.0,0.0,2505.0,2.44,0
2009,14143.0,1890.0,1.87,5001.0,7998.0,1.6,1037.0,1.03,53
2010,16965.0,2780.0,2.75,6522.0,8156.0,1.25,1690.0,1.68,47
2011,19557.0,3292.0,3.35,7848.0,7689.0,0.98,2805.0,2.87,18
2012,20926.0,3943.0,4.12,8613.0,7934.0,0.92,2503.0,2.63,19
2013,21963.0,4388.0,4.68,9351.0,8145.0,0.87,3425.0,3.67,11
2014,23988.0,5180.0,5.73,10808.0,9827.0,0.91,3177.0,3.53,18
2015,21813.0,4772.0,5.46,10290.0,12810.0,1.24,2945.0,3.38,-7
2016,19941.0,4233.0,5.06,9502.0,13670.0,1.44,4149.0,4.97,-11
2017,21240.0,10712.0,13.33,10456.0,15579.0,1.49,4160.0,5.19,153
2018,22832.0,5966.0,7.9,10802.0,21058.0,1.95,5312.0,7.05,-44
2019,21708.0,5919.0,8.37,11013.0,24309.0,2.21,5230.0,7.41,0
2020,26433.0,6002.0,8.54,11170.0,26686.0,2.39,5365.0,7.82,1
