Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,26114.0,1843.0,1.82,3994.0,0.0,0.0,6260.0,6.2,0
2009,45297.0,1968.0,1.96,5255.0,7421.0,1.41,3743.0,3.75,6
2010,49545.0,3338.0,3.34,7433.0,6765.0,0.91,2750.0,2.77,69
2011,53105.0,3804.0,3.86,7862.0,6853.0,0.87,5095.0,5.19,13
2012,54127.0,807.0,0.83,3201.0,4946.0,1.55,5158.0,5.37,-78
2013,55438.0,4372.0,4.63,8901.0,5627.0,0.63,5343.0,5.68,441
2014,58232.0,3032.0,3.29,6891.0,7496.0,1.09,3451.0,3.77,-30
2015,58363.0,4844.0,5.35,9752.0,9608.0,0.99,5077.0,5.63,59
2016,61610.0,3422.0,3.86,9912.0,11508.0,1.16,3596.0,4.07,-29
2017,66585.0,4905.0,5.6,9811.0,20220.0,2.06,-3724.0,-4.28,43
2018,71861.0,4791.0,5.52,9231.0,17701.0,1.92,6465.0,7.47,-2
2019,74094.0,4440.0,5.13,10158.0,19497.0,1.92,2324.0,2.69,-7
