Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,8.0,-4.0,-0.12,-2.0,-23.0,-0.0,-8.0,-0.22,0
2011,8.0,-4.0,-0.12,-4.0,-12.0,-0.0,-13.0,-0.36,0
2012,5.0,-9.0,-0.26,-9.0,-4.0,-0.0,-10.0,-0.28,-125
2013,6.0,-4.0,-0.12,-2.0,-11.0,-0.0,-2.0,-0.05,55
2014,4.0,-4.0,-0.12,-4.0,-6.0,-0.0,-8.0,-0.21,0
2015,4.0,-6.0,-0.14,-5.0,-7.0,-0.0,-8.0,-0.19,-50
2016,4.0,-5.0,-0.1,-5.0,-3.0,-0.0,-8.0,-0.17,16
2017,6.0,-4.0,-0.08,-4.0,-3.0,-0.0,-6.0,-0.13,19
2018,12.0,-5.0,-0.06,-5.0,3.0,0.0,-10.0,-0.19,-25
2019,14.0,-6.0,-0.08,-6.0,2.0,0.0,-10.0,-0.2,-20
