Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,11.0,-2.0,-0.08,2.0,0.0,0.0,4.0,0.15,0
2011,29.0,-4.0,-0.14,8.0,0.0,0.0,-44.0,-1.63,-101
2012,31.0,-10.0,-0.38,7.0,8.0,1.14,-29.0,-1.07,-150
2013,31.0,-6.0,-0.23,10.0,3.0,0.3,-2.0,-0.07,39
2014,31.0,-1.0,-0.07,13.0,2.0,0.15,-8.0,-0.57,83
2015,8.0,-91.0,-22.75,-56.0,3.0,0.0,1.0,0.25,-9091
2016,4.0,-14.0,-3.5,-8.0,3.0,0.0,-6.0,-1.5,84
2017,4.0,-2.0,-0.26,2.0,-2.0,-0.0,-5.0,-0.63,85
2018,2.0,-2.0,-1.0,0.0,-2.0,0.0,-2.0,-1.0,0
2019,6.0,0.0,0.0,0.0,-2.0,0.0,3.0,3.0,100
