Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,68.0,9.0,1.5,10.0,0.0,0.0,9.0,1.5,0
2011,141.0,20.0,3.34,44.0,-21.0,-0.0,29.0,4.83,121
2012,137.0,14.0,2.8,37.0,-3.0,-0.0,24.0,4.8,-30
2013,132.0,12.0,2.4,34.0,-28.0,-0.0,25.0,5.0,-14
2014,148.0,17.0,3.4,41.0,-42.0,-0.0,21.0,4.2,41
2015,130.0,11.0,2.2,32.0,-59.0,-0.0,22.0,4.4,-35
2016,137.0,16.0,3.2,38.0,-74.0,-0.0,20.0,4.0,45
2017,143.0,25.0,5.0,40.0,-85.0,-0.0,15.0,3.0,56
2018,143.0,18.0,3.6,38.0,-67.0,-0.0,-15.0,-3.0,-28
2019,155.0,24.0,4.8,46.0,-54.0,-0.0,20.0,4.0,33
