Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,12.0,2.0,0.66,2.0,0.0,0.0,-1.0,-0.33,0
2011,35.0,5.0,2.5,13.0,14.0,1.08,7.0,3.5,148
2012,40.0,8.0,2.0,16.0,4.0,0.25,8.0,2.0,59
2013,40.0,9.0,2.25,16.0,-6.0,-0.0,7.0,1.75,12
2014,39.0,9.0,4.5,17.0,-16.0,-0.0,9.0,4.5,0
2015,38.0,10.0,5.0,16.0,-24.0,-0.0,8.0,4.0,10
2016,37.0,10.0,10.0,18.0,-27.0,-0.0,7.0,7.0,0
2017,40.0,7.0,1.4,20.0,-40.0,-0.0,11.0,2.2,-30
2018,39.0,17.0,5.66,20.0,-51.0,-0.0,12.0,4.0,142
2019,44.0,13.0,3.25,23.0,-42.0,-0.0,11.0,2.75,-23
