Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,47.0,36.0,3.99,8.0,-18.0,-0.0,5.0,0.56,0
2012,35.0,5.0,0.55,4.0,-15.0,-0.0,-2.0,-0.22,-86
2013,33.0,4.0,0.44,4.0,-12.0,-0.0,-4.0,-0.44,-20
2014,35.0,5.0,0.55,4.0,-14.0,-0.0,-1.0,-0.11,24
2015,34.0,6.0,0.66,4.0,-14.0,-0.0,-4.0,-0.44,19
2016,32.0,5.0,0.55,4.0,-16.0,-0.0,-2.0,-0.22,-16
2017,40.0,9.0,1.0,10.0,-22.0,-0.0,2.0,0.22,79
2018,33.0,13.0,1.44,4.0,-22.0,-0.0,-3.0,-0.33,44
2019,35.0,10.0,3.32,4.0,-27.0,-0.0,6.0,2.0,-23
2020,38.0,13.0,1.87,8.0,-28.0,-0.0,9.0,1.0,29
