Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,14.0,2.0,0.66,1.0,0.0,0.0,0.0,0.0,0
2011,29.0,-9.0,-2.25,-9.0,-4.0,-0.0,8.0,2.0,-547
2012,30.0,-10.0,-10.0,-4.0,27.0,0.0,-4.0,-4.0,-11
2013,25.0,-4.0,-4.0,-2.0,13.0,0.0,18.0,18.0,59
2014,19.0,-2.0,-2.0,0.0,0.0,0.0,-1.0,-1.0,49
2015,21.0,2.0,2.0,4.0,-2.0,-0.0,-5.0,-5.0,200
2016,23.0,14.0,14.0,4.0,2.0,0.5,5.0,5.0,596
2017,21.0,-1.0,-1.0,4.0,5.0,1.25,4.0,4.0,-107
2018,21.0,4.0,4.0,4.0,23.0,5.75,3.0,3.0,504
2019,24.0,4.0,4.0,5.0,29.0,5.8,-3.0,-3.0,0
