Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0
2011,17.0,7.0,0.26,5.0,-5.0,-0.0,3.0,0.11,593
2012,32.0,13.0,0.47,9.0,-5.0,-0.0,4.0,0.14,85
2013,29.0,13.0,0.47,9.0,-8.0,-0.0,6.0,0.21,0
2014,22.0,2.0,0.08,3.0,-5.0,-0.0,-1.0,-0.04,-84
2015,30.0,4.0,0.16,6.0,-4.0,-0.0,-6.0,-0.21,99
2016,20.0,2.0,0.08,3.0,-2.0,-0.0,-4.0,-0.14,-50
2017,12.0,-5.0,-0.15,-6.0,-3.0,-0.0,-3.0,-0.09,-348
2018,12.0,-14.0,-0.27,-16.0,5.0,0.0,-3.0,-0.06,-180
2019,29.0,-11.0,-0.16,-6.0,1.0,0.0,-8.0,-0.13,21
2020,33.0,-12.0,-0.17,-7.0,3.0,0.0,-10.0,-0.15,-9
