Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,552.0,128.0,0.72,219.0,3010.0,13.74,269.0,1.52,0
2011,586.0,130.0,0.73,231.0,2751.0,11.91,180.0,1.01,1
2012,610.0,141.0,0.71,257.0,2649.0,10.31,309.0,1.57,8
2013,575.0,130.0,0.67,221.0,2880.0,13.03,288.0,1.45,-7
2014,550.0,114.0,0.55,201.0,2250.0,11.19,204.0,1.0,-12
2015,632.0,100.0,0.43,177.0,2685.0,15.17,142.0,0.61,-12
2016,719.0,167.0,0.66,291.0,2335.0,8.02,418.0,1.65,66
2017,769.0,161.0,0.61,332.0,2862.0,8.62,609.0,2.31,-3
2018,988.0,259.0,0.76,412.0,3576.0,8.68,574.0,1.73,60
2019,1110.0,308.0,0.89,556.0,3015.0,5.42,1550.0,4.56,18
