Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,129.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0
2012,705.0,23.0,1.0,50.0,24.0,0.48,48.0,2.09,2177
2013,834.0,22.0,0.96,56.0,155.0,2.77,6.0,0.26,-4
2014,807.0,-28.0,-1.16,-18.0,98.0,0.0,53.0,2.21,-227
2015,755.0,0.0,0.01,14.0,76.0,5.43,32.0,1.33,100
2016,529.0,-5.0,-0.2,1.0,85.0,85.0,9.0,0.38,-50099
2017,513.0,-4.0,-0.16,5.0,105.0,21.0,-12.0,-0.5,19
2018,505.0,28.0,1.17,-11.0,-36.0,-0.0,-30.0,-1.25,801
2019,444.0,-98.0,-4.08,-48.0,-43.0,-0.0,15.0,0.63,-449
2020,400.0,-92.0,-3.83,-49.0,-25.0,-0.0,-4.0,-0.17,6
