Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,686.0,30.0,0.88,88.0,242.0,2.75,-22.0,-0.65,0
2011,800.0,34.0,0.79,140.0,295.0,2.11,-39.0,-0.91,13
2012,862.0,7.0,0.15,126.0,377.0,2.99,-63.0,-1.43,-79
2013,1117.0,-39.0,-0.91,62.0,483.0,7.79,-83.0,-1.93,-656
2014,1349.0,-7.0,-0.16,187.0,631.0,3.37,-103.0,-2.29,82
2015,1380.0,38.0,0.79,302.0,794.0,2.63,-18.0,-0.38,643
2016,1415.0,19.0,0.38,281.0,940.0,3.35,-81.0,-1.65,-50
2017,1558.0,20.0,0.39,281.0,762.0,2.71,-103.0,-1.94,5
2018,1593.0,-66.0,-1.14,152.0,1073.0,7.06,-152.0,-2.62,-429
2019,557.0,-65.0,-1.09,255.0,1271.0,4.98,-296.0,-5.02,1
2020,2274.0,14.0,0.22,366.0,1643.0,4.49,-288.0,-4.65,121
