Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,28.0,2.0,0.16,1.0,0.0,0.0,-2.0,-0.15,0
2011,108.0,5.0,0.35,4.0,-1.0,-0.0,0.0,0.0,148
2012,133.0,3.0,0.21,2.0,13.0,6.5,-2.0,-0.14,-40
2013,160.0,7.0,0.35,7.0,5.0,0.71,0.0,0.0,132
2014,257.0,-5.0,-0.22,1.0,36.0,36.0,-5.0,-0.22,-171
2015,145.0,-22.0,-0.79,-7.0,23.0,0.0,-15.0,-0.54,-340
2016,97.0,-5.0,-0.16,4.0,12.0,3.0,-14.0,-0.47,77
2017,143.0,-7.0,-0.21,2.0,18.0,9.0,-5.0,-0.16,-40
2018,178.0,-3.0,-0.07,9.0,18.0,2.0,1.0,0.03,57
2019,161.0,-6.0,-0.14,5.0,13.0,2.6,0.0,0.0,-100
