Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0
2011,5.0,-5.0,-1.25,-3.0,5.0,0.0,-3.0,-0.75,-151
2012,4.0,1.0,1.0,-4.0,1.0,0.0,2.0,2.0,120
2013,4.0,-8.0,-8.0,-8.0,1.0,0.0,-10.0,-10.0,-892
2014,4.0,-7.0,-7.0,-6.0,1.0,0.0,-8.0,-8.0,12
2015,4.0,-12.0,-12.0,-8.0,-9.0,-0.0,-13.0,-13.0,-71
2016,4.0,-18.0,-18.0,-15.0,-13.0,-0.0,-17.0,-17.0,-50
2017,4.0,-18.0,-18.0,-16.0,-14.0,-0.0,-18.0,-18.0,0
2018,5.0,-20.0,-20.0,-19.0,-17.0,-0.0,-25.0,-25.0,-11
2019,5.0,-25.0,0.82,-22.0,-10.0,-0.0,-24.0,0.8,-25
