Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1505.0,121.0,2.58,239.0,186.0,0.78,155.0,3.3,0
2011,1965.0,168.0,1.76,312.0,111.0,0.36,210.0,2.21,38
2012,2389.0,249.0,2.61,434.0,103.0,0.24,201.0,2.12,48
2013,2565.0,290.0,3.06,486.0,166.0,0.34,201.0,2.12,16
2014,3043.0,350.0,3.69,584.0,96.0,0.16,426.0,4.48,20
2015,3306.0,397.0,4.13,666.0,466.0,0.7,403.0,4.2,13
2016,2929.0,312.0,3.46,523.0,1493.0,2.85,400.0,4.44,-21
2017,3880.0,261.0,2.76,521.0,1637.0,3.14,102.0,1.07,-16
2018,4361.0,290.0,3.0,588.0,3276.0,5.57,234.0,2.44,11
2019,8198.0,325.0,1.82,983.0,3824.0,3.89,834.0,4.71,12
