Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2011,8.0,4.0,0.0,4.0,11.0,2.75,-2.0,0.0,296
2012,10.0,2.0,0.0,2.0,29.0,14.5,-7.0,0.0,-50
2013,12.0,4.0,2.0,4.0,50.0,12.5,6.0,3.0,99
2014,16.0,4.0,2.0,4.0,59.0,14.75,0.0,0.0,0
2015,17.0,4.0,2.0,4.0,100.0,25.0,0.0,0.0,0
2016,20.0,4.0,2.0,4.0,110.0,27.5,0.0,0.0,0
2017,22.0,4.0,2.0,5.0,120.0,24.0,4.0,2.0,0
2018,25.0,4.0,2.0,8.0,76.0,9.5,2.0,1.0,0
2019,28.0,5.0,2.5,6.0,97.0,16.17,0.0,0.0,24
