Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,19.0,-2.0,-0.02,-2.0,0.0,0.0,-2.0,-0.03,0
2011,63.0,4.0,0.0,4.0,-25.0,-0.0,9.0,0.07,301
2012,83.0,11.0,0.05,11.0,-35.0,-0.0,5.0,0.04,174
2013,148.0,49.0,0.36,50.0,-94.0,-0.0,60.0,0.45,345
2014,182.0,59.0,0.42,72.0,-156.0,-0.0,74.0,0.55,20
2015,297.0,79.0,0.55,136.0,-195.0,-0.0,148.0,1.09,33
2016,-2.0,24.0,0.17,54.0,-74.0,-0.0,48.0,0.38,-69
2017,10.0,26.0,0.18,58.0,-34.0,-0.0,42.0,0.32,8
2018,-3.0,36.0,0.22,54.0,139.0,2.57,35.0,0.22,38
2019,179.0,-11.0,-0.08,6.0,126.0,21.0,40.0,0.26,-130
