Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,21837.0,3420.0,1.02,5390.0,0.0,0.0,-576.0,-0.17,0
2009,88686.0,12667.0,2.76,20839.0,215747.0,10.35,28613.0,6.27,270
2010,85210.0,12663.0,2.39,20925.0,196340.0,9.38,18772.0,3.57,0
2011,80948.0,16211.0,3.02,25864.0,155005.0,5.99,13665.0,2.57,28
2012,86086.0,19368.0,3.6,31278.0,162694.0,5.2,58540.0,10.94,19
2013,83780.0,22224.0,4.12,35922.0,186962.0,5.2,57641.0,10.73,14
2014,84347.0,23608.0,4.41,36430.0,227890.0,6.26,17529.0,3.29,6
2015,86057.0,23276.0,4.44,36929.0,277953.0,7.53,15904.0,3.05,-1
2016,88267.0,22045.0,4.29,37090.0,331129.0,8.93,1008.0,0.2,-5
2017,88389.0,22460.0,4.46,32783.0,304909.0,9.3,18619.0,3.71,1
2018,86408.0,22876.0,4.71,34131.0,311280.0,9.12,36073.0,7.46,1
2019,83850.0,20041.0,4.51,28847.0,310946.0,10.78,6730.0,1.52,-12
