Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,494.0,10.0,0.33,15.0,-69.0,-0.0,-15.0,-0.52,0
2012,579.0,43.0,1.48,15.0,-62.0,-0.0,-3.0,-0.1,329
2013,802.0,30.0,1.07,47.0,-64.0,-0.0,7.0,0.25,-30
2014,942.0,43.0,1.59,67.0,-57.0,-0.0,15.0,0.56,43
2015,975.0,39.0,1.5,63.0,-70.0,-0.0,30.0,1.15,-9
2016,974.0,44.0,1.7,70.0,-85.0,-0.0,29.0,1.12,12
2017,1545.0,69.0,2.3,157.0,238.0,1.52,83.0,2.77,56
2018,2016.0,100.0,3.23,180.0,289.0,1.61,55.0,1.77,44
2019,1983.0,110.0,3.91,179.0,216.0,1.21,93.0,3.32,9
2020,2272.0,98.0,3.31,179.0,342.0,1.91,164.0,4.97,-10
