Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,20.0,4.0,0.8,9.0,0.0,0.0,3.0,0.6,0
2011,50.0,13.0,2.6,24.0,-20.0,-0.0,1.0,0.2,224
2012,50.0,11.0,2.2,27.0,-3.0,-0.0,-6.0,-1.2,-15
2013,54.0,17.0,3.4,28.0,-25.0,-0.0,1.0,0.2,54
2014,60.0,18.0,3.6,32.0,-3.0,-0.0,-10.0,-2.0,5
2015,67.0,20.0,5.0,36.0,48.0,1.33,1.0,0.25,11
2016,65.0,21.0,5.25,37.0,26.0,0.7,1.0,0.25,4
2017,67.0,22.0,5.5,38.0,52.0,1.37,-2.0,-0.5,4
2018,71.0,28.0,7.0,41.0,14.0,0.34,12.0,3.0,27
2019,73.0,31.0,7.75,43.0,-9.0,-0.0,42.0,10.5,10
2020,73.0,31.0,8.33,43.0,28.0,0.65,42.0,14.0,0
