Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,6858.0,921.0,1.34,1842.0,0.0,0.0,-230.0,-0.34,0
2009,0.0,0.0,0.48,0.0,6409.0,0.0,0.0,0.0,-100
2010,11518.0,-846.0,-846.0,2902.0,0.0,0.0,-137.0,-137.0,-8460100
2011,12810.0,737.0,0.93,5106.0,7833.0,1.53,1000.0,1.28,187
2012,7486.0,1065.0,1.35,2366.0,9897.0,4.18,-694.0,-0.89,44
2013,6860.0,668.0,0.84,2190.0,10898.0,4.98,-1352.0,-1.72,-37
2014,7637.0,2339.0,2.9,2776.0,21342.0,7.69,-1882.0,-2.35,250
2015,7360.0,-1314.0,-1314.0,2066.0,24387.0,11.8,-456.0,-456.0,-156
2016,0.0,-350.0,-350.0,2537.0,23332.0,9.2,2134.0,2134.0,73
2017,0.0,2509.0,2.61,2638.0,20036.0,7.6,649.0,0.68,816
2018,26212.0,193.0,2.49,2585.0,22246.0,8.61,30.0,0.39,-92
2019,15349.0,714.0,0.57,3668.0,21999.0,6.0,1544.0,1.27,269
