Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,111.0,17.0,0.66,10.0,0.0,0.0,19.0,0.73,0
2011,227.0,42.0,1.6,55.0,330.0,6.0,103.0,3.96,146
2012,231.0,46.0,1.76,62.0,242.0,3.9,68.0,2.62,9
2013,253.0,63.0,2.18,84.0,200.0,2.38,102.0,3.52,36
2014,260.0,68.0,2.34,94.0,315.0,3.35,87.0,3.0,7
2015,309.0,78.0,2.1,109.0,1142.0,10.48,80.0,2.16,14
2016,334.0,85.0,2.13,120.0,1203.0,10.03,118.0,2.95,8
2017,378.0,92.0,2.09,152.0,1179.0,7.76,136.0,3.09,8
2018,446.0,141.0,2.86,179.0,1365.0,7.63,185.0,3.78,53
2019,515.0,157.0,2.79,202.0,1663.0,8.23,152.0,2.71,11
