Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,87.0,11.0,1.38,14.0,0.0,0.0,20.0,2.5,0
2011,188.0,21.0,2.63,41.0,205.0,5.0,66.0,8.25,90
2012,212.0,29.0,3.64,64.0,27.0,0.42,94.0,11.75,38
2013,210.0,45.0,1.73,83.0,322.0,3.88,52.0,2.0,55
2014,222.0,51.0,1.88,84.0,32.0,0.38,62.0,2.3,13
2015,254.0,51.0,1.82,99.0,244.0,2.46,65.0,2.32,0
2016,297.0,62.0,2.07,124.0,319.0,2.57,70.0,2.33,21
2017,344.0,49.0,1.59,137.0,189.0,1.38,122.0,3.94,-20
2018,406.0,132.0,4.24,196.0,-78.0,-0.0,130.0,4.19,169
2019,688.0,145.0,2.94,120.0,-277.0,-0.0,76.0,1.55,9
