Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,100.0,2.0,0.5,2.0,0.0,0.0,-3.0,-0.75,0
2011,248.0,4.0,1.0,8.0,-13.0,-0.0,-1.0,-0.25,99
2012,295.0,4.0,1.0,7.0,-12.0,-0.0,0.0,0.0,0
2013,298.0,5.0,1.25,7.0,-19.0,-0.0,7.0,1.75,24
2014,339.0,4.0,1.0,6.0,-23.0,-0.0,1.0,0.25,-20
2015,379.0,4.0,1.0,7.0,-23.0,-0.0,3.0,0.75,0
2016,416.0,4.0,1.0,7.0,-13.0,-0.0,-5.0,-1.25,0
2017,447.0,4.0,1.0,5.0,-5.0,-0.0,-6.0,-1.5,0
2018,179.0,2.0,0.5,2.0,-14.0,-0.0,9.0,2.25,-50
2019,206.0,5.0,1.25,7.0,-14.0,-0.0,0.0,0.0,148
