Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,26.0,5.0,0.3,5.0,0.0,0.0,2.0,0.12,0
2011,49.0,13.0,0.78,24.0,90.0,3.75,20.0,1.18,159
2012,49.0,13.0,0.78,26.0,54.0,2.08,17.0,1.0,0
2013,52.0,15.0,0.94,28.0,90.0,3.21,18.0,1.13,15
2014,57.0,18.0,1.12,30.0,169.0,5.63,21.0,1.31,19
2015,60.0,20.0,1.24,34.0,89.0,2.62,25.0,1.56,11
2016,63.0,21.0,1.31,37.0,85.0,2.3,18.0,1.13,4
2017,67.0,22.0,1.39,39.0,85.0,2.18,24.0,1.5,4
2018,68.0,27.0,1.66,39.0,139.0,3.56,28.0,1.75,22
2019,74.0,26.0,1.6,38.0,185.0,4.87,30.0,1.88,-3
2020,76.0,28.0,1.73,40.0,157.0,3.93,34.0,2.13,7
