Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-4.0,-0.05,-3.0,0.0,0.0,-1.0,-0.01,0
2011,0.0,-9.0,-0.99,-8.0,0.0,0.0,-9.0,-1.0,-125
2012,0.0,-18.0,-1.5,-18.0,-3.0,-0.0,-22.0,-1.83,-100
2013,0.0,-19.0,-1.0,-17.0,0.0,0.0,-17.0,-0.89,-5
2014,0.0,-10.0,-5.0,-5.0,-1.0,-0.0,-13.0,-6.5,47
2015,0.0,-14.0,-7.0,-9.0,4.0,0.0,-9.0,-4.5,-40
2016,0.0,-17.0,-3.4,-9.0,2.0,0.0,-12.0,-2.4,-21
2017,0.0,-18.0,-0.75,-17.0,-5.0,-0.0,-10.0,-0.42,-5
2018,0.0,-34.0,-0.72,-36.0,-2.0,-0.0,-5.0,-0.11,-88
2019,0.0,-8.0,-4.0,-9.0,-1.0,-0.0,-6.0,-3.0,76
