Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,25.0,2.0,0.04,1.0,0.0,0.0,0.0,0.0,0
2011,39.0,2.0,0.04,2.0,5.0,2.5,-2.0,-0.03,0
2012,54.0,2.0,0.04,4.0,4.0,1.0,-5.0,-0.08,0
2013,45.0,-1.0,-0.01,2.0,3.0,1.5,-3.0,-0.05,-149
2014,51.0,-8.0,-0.1,-4.0,-10.0,-0.0,-6.0,-0.08,-708
2015,68.0,-4.0,-0.04,-4.0,-5.0,-0.0,-8.0,-0.1,49
2016,77.0,-5.0,-0.05,-3.0,-7.0,-0.0,0.0,0.0,-25
2017,73.0,-4.0,-0.04,-2.0,-3.0,-0.0,-6.0,-0.07,19
2018,82.0,-4.0,-0.04,0.0,0.0,0.0,-5.0,-0.06,0
2019,100.0,0.0,0.0,4.0,-6.0,-0.0,1.0,0.01,100
